epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.7831,1.39989,3.81982,1.19995,0.00389,0.16315,0.00425,0.0012,1.40665,4.01578,1.14484,5e-05,5e-05,5e-05
2,29.0953,1.27034,3.67207,1.09589,0.00838,0.37623,0.0618,0.02013,1.20035,3.92896,1.05449,0.000108787,0.000108787,0.000108787
3,40.2411,1.17379,3.33409,1.0174,0.01757,0.54193,0.16024,0.08202,1.14054,3.87929,1.00413,0.00016345,0.00016345,0.00016345
4,51.6932,1.19652,2.94898,0.99782,0.01968,0.58437,0.19095,0.09115,1.16405,3.71994,0.96176,0.000213988,0.000213988,0.000213988
5,62.9736,1.14794,2.48809,0.99761,1,0.08141,0.18766,0.09417,1.15969,3.44125,0.94617,0.0002604,0.0002604,0.0002604
6,74.0359,1.20105,2.1287,1.0508,0.97225,0.10081,0.1925,0.10037,1.16762,3.25926,0.95325,0.000302688,0.000302688,0.000302688
7,85.2414,1.29843,1.95915,1.03931,0.73563,0.09677,0.30825,0.16505,1.22764,2.94347,0.97283,0.00034085,0.00034085,0.00034085
8,96.3584,1.21903,1.69034,1.06907,0.92022,0.25064,0.41281,0.25233,1.22307,2.81019,0.98469,0.000374887,0.000374887,0.000374887
9,111.461,1.16422,1.66117,1.0334,0.90331,0.22097,0.49098,0.33103,1.23976,2.69007,1.01227,0.0004048,0.0004048,0.0004048
10,126.353,1.14823,1.55083,1.00659,0.88869,0.39242,0.54729,0.37322,1.31532,2.54921,1.06961,0.000430588,0.000430588,0.000430588
11,141.107,1.08515,1.40246,1.02057,0.82951,0.38979,0.56413,0.381,1.34564,2.51545,1.08574,0.00045225,0.00045225,0.00045225
12,156.146,1.1282,1.32576,1.03543,0.79795,0.38976,0.57695,0.38763,1.41493,2.47146,1.11597,0.000469788,0.000469788,0.000469788
13,171.112,1.20798,1.36319,1.02166,0.85068,0.43813,0.61458,0.42835,1.3512,2.34028,1.0946,0.0004832,0.0004832,0.0004832
14,186.076,1.13629,1.30853,1.01146,0.85068,0.43813,0.61458,0.42835,1.3512,2.34028,1.0946,0.000492487,0.000492487,0.000492487
15,201.166,1.1132,1.22498,0.99225,0.84275,0.49913,0.64501,0.45593,1.24798,2.14694,1.05706,0.00049765,0.00049765,0.00049765
16,216.07,1.05329,1.22207,0.99301,0.85958,0.54752,0.6785,0.48733,1.23188,2.00681,1.05667,0.000498687,0.000498687,0.000498687
17,230.955,1.10558,1.24392,0.99,0.8655,0.60017,0.67591,0.48767,1.24586,1.89838,1.0759,0.0004956,0.0004956,0.0004956
18,246.699,1.09679,1.22578,1.01011,0.8655,0.60017,0.67591,0.48767,1.24586,1.89838,1.0759,0.000488387,0.000488387,0.000488387
19,261.635,1.00042,1.18169,0.97588,0.82869,0.64382,0.69343,0.48208,1.31575,1.86355,1.09196,0.00047705,0.00047705,0.00047705
20,277.254,1.10185,1.21004,0.96445,0.51427,0.70771,0.71716,0.48823,1.35916,1.68968,1.11642,0.000461588,0.000461588,0.000461588
21,292.143,1.02925,1.42463,0.99344,0.51427,0.70771,0.71716,0.48823,1.35916,1.68968,1.11642,0.000425,0.000425,0.000425
22,308.39,0.93485,1.24912,0.95617,0.62049,0.87006,0.7653,0.52576,1.349,1.52303,1.12722,0.00038375,0.00038375,0.00038375
23,322.995,1.00327,1.29206,0.97562,0.68918,0.91335,0.80823,0.56208,1.3022,1.47437,1.12871,0.0003425,0.0003425,0.0003425
24,337.444,0.9737,1.28382,1.00652,0.68918,0.91335,0.80823,0.56208,1.3022,1.47437,1.12871,0.00030125,0.00030125,0.00030125
25,351.811,0.94468,1.14916,0.95372,0.64563,0.89026,0.81177,0.56972,1.28272,1.46628,1.13413,0.00026,0.00026,0.00026
26,366.51,0.94109,1.14419,0.9324,0.64563,0.89026,0.81177,0.56972,1.28272,1.46628,1.13413,0.00021875,0.00021875,0.00021875
27,380.946,0.92254,1.11117,0.96647,0.73924,0.73823,0.82081,0.58849,1.27306,1.44753,1.13217,0.0001775,0.0001775,0.0001775
28,395.601,0.93346,1.20597,0.95133,0.75681,0.70583,0.81896,0.58923,1.28944,1.4207,1.14324,0.00013625,0.00013625,0.00013625
29,409.794,0.9154,1.09926,0.94767,0.75681,0.70583,0.81896,0.58923,1.28944,1.4207,1.14324,9.5e-05,9.5e-05,9.5e-05
30,424.009,0.90381,1.08488,0.9463,0.76529,0.71844,0.8395,0.60829,1.30801,1.3849,1.15799,5.375e-05,5.375e-05,5.375e-05
