epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6165,1.57276,3.9992,1.23588,0.00376,0.10779,0.00245,0.00103,1.44594,4.05295,1.19595,5e-05,5e-05,5e-05
2,24.5344,1.47171,3.84975,1.1397,0.01073,0.22292,0.03946,0.01558,1.27112,3.91483,1.07361,0.000108787,0.000108787,0.000108787
3,35.5314,1.30081,3.37271,1.03918,0.01707,0.38675,0.11026,0.04299,1.19307,3.85201,1.02914,0.00016345,0.00016345,0.00016345
4,46.5683,1.34257,2.94671,1.01569,0.02165,0.51524,0.17587,0.09338,1.14235,3.65275,0.97887,0.000213988,0.000213988,0.000213988
5,57.5068,1.39986,2.50893,1.04771,0.90234,0.11364,0.1823,0.09799,1.11912,3.39757,0.94857,0.0002604,0.0002604,0.0002604
6,68.3225,1.23669,2.00275,1.02526,1,0.09599,0.20289,0.11045,1.15201,3.21143,0.958,0.000302688,0.000302688,0.000302688
7,79.2241,1.37512,1.88835,1.08621,0.92123,0.34805,0.36989,0.23828,1.32198,2.85407,1.01995,0.00034085,0.00034085,0.00034085
8,90.1531,1.25911,1.74322,1.05233,0.90962,0.2516,0.41435,0.27628,1.28386,2.70166,1.0129,0.000374887,0.000374887,0.000374887
9,101.168,1.30073,1.70841,1.05426,0.65274,0.37034,0.42617,0.28311,1.25053,2.54268,1.01392,0.0004048,0.0004048,0.0004048
10,112.225,1.23489,1.56073,1.03901,0.43089,0.37749,0.54135,0.33359,1.30052,2.29858,1.04396,0.000430588,0.000430588,0.000430588
11,123.001,1.10182,1.42379,1.00521,0.43031,0.39654,0.61226,0.36312,1.36904,2.15647,1.0821,0.00045225,0.00045225,0.00045225
12,133.904,1.2325,1.36247,1.05566,0.54236,0.43628,0.64452,0.39633,1.40915,2.02043,1.10743,0.000469788,0.000469788,0.000469788
13,144.878,1.22284,1.3535,1.06573,0.48181,0.40929,0.66421,0.43123,1.44046,1.84848,1.1372,0.0004832,0.0004832,0.0004832
14,156.512,1.20704,1.25718,1.02095,0.48181,0.40929,0.66421,0.43123,1.44046,1.84848,1.1372,0.000492487,0.000492487,0.000492487
15,167.742,1.20071,1.27122,1.04803,0.59142,0.55671,0.64867,0.41979,1.43094,1.74872,1.13932,0.00049765,0.00049765,0.00049765
16,178.602,1.16977,1.32273,1.02438,0.57999,0.64715,0.71419,0.43749,1.44981,1.66406,1.1397,0.000498687,0.000498687,0.000498687
17,190.195,1.24859,1.36134,1.06968,0.62486,0.72572,0.73436,0.47075,1.45302,1.59811,1.14396,0.0004956,0.0004956,0.0004956
18,210.139,1.09854,1.26729,1.00341,0.62486,0.72572,0.73436,0.47075,1.45302,1.59811,1.14396,0.000488387,0.000488387,0.000488387
19,231.355,1.06447,1.19637,1.00071,0.66582,0.74358,0.75398,0.50475,1.47259,1.51712,1.16293,0.00047705,0.00047705,0.00047705
20,253.233,1.14563,1.33275,1.03443,0.79961,0.76497,0.79833,0.55054,1.49943,1.47807,1.17061,0.000461588,0.000461588,0.000461588
21,274.454,1.05514,1.29482,1.01431,0.79961,0.76497,0.79833,0.55054,1.49943,1.47807,1.17061,0.000425,0.000425,0.000425
22,295.445,1.0195,1.26492,1.01733,0.82771,0.82506,0.82587,0.55956,1.52678,1.5073,1.18356,0.00038375,0.00038375,0.00038375
23,317.046,1.09731,1.33564,0.99577,0.85117,0.80101,0.83802,0.56639,1.53023,1.52144,1.19145,0.0003425,0.0003425,0.0003425
24,338.39,1.06925,1.30178,0.98503,0.85117,0.80101,0.83802,0.56639,1.53023,1.52144,1.19145,0.00030125,0.00030125,0.00030125
25,359.657,1.02477,1.23154,0.99185,0.87754,0.81786,0.84958,0.58362,1.52619,1.45677,1.18407,0.00026,0.00026,0.00026
26,381.186,1.05574,1.16603,0.98967,0.87754,0.81786,0.84958,0.58362,1.52619,1.45677,1.18407,0.00021875,0.00021875,0.00021875
27,403.496,1.02494,1.13205,0.98742,0.90436,0.82044,0.89053,0.61291,1.532,1.37674,1.18615,0.0001775,0.0001775,0.0001775
28,425.664,1.04705,1.25239,1.0064,0.81092,0.85496,0.91125,0.62405,1.52543,1.30589,1.18722,0.00013625,0.00013625,0.00013625
29,448.621,0.99654,1.1517,0.97383,0.81092,0.85496,0.91125,0.62405,1.52543,1.30589,1.18722,9.5e-05,9.5e-05,9.5e-05
30,471.449,1.00236,1.15408,0.98801,0.87165,0.79341,0.91257,0.62187,1.52434,1.2552,1.19528,5.375e-05,5.375e-05,5.375e-05
