epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3196,1.89783,4.09271,1.35817,0.00175,0.01974,0.00097,0.00035,1.86489,4.14635,1.31476,2.5e-05,2.5e-05,2.5e-05
2,23.7215,1.78093,4.06785,1.26257,0.00719,0.07895,0.01014,0.00237,1.67996,4.05848,1.21786,6.04375e-05,6.04375e-05,6.04375e-05
3,30.7841,1.53335,3.78203,1.14186,0.00979,0.09868,0.06708,0.02519,1.56446,3.97142,1.13994,9.34e-05,9.34e-05,9.34e-05
4,37.7279,1.5116,3.78366,1.12528,0.01634,0.13158,0.11452,0.04907,1.44508,3.84576,1.07027,0.000123888,0.000123888,0.000123888
5,46.4364,1.35177,3.29695,1.03624,0.0193,0.14474,0.13996,0.06436,1.44609,3.77624,1.05333,0.0001519,0.0001519,0.0001519
6,55.059,1.4446,3.07487,1.05327,0.02236,0.14474,0.13934,0.06196,1.42324,3.68677,1.02545,0.000177438,0.000177438,0.000177438
7,63.3007,1.42608,2.59406,1.09659,0.02484,0.20132,0.15388,0.06035,1.42648,3.63764,1.02545,0.0002005,0.0002005,0.0002005
8,71.4689,1.32444,2.31063,1.03879,0.02576,0.49361,0.15985,0.06264,1.38072,3.52325,1.01216,0.000221087,0.000221087,0.000221087
9,80.0252,1.32691,2.07673,1.06207,0.98719,0.14474,0.17743,0.07286,1.35193,3.34588,1.00116,0.0002392,0.0002392,0.0002392
10,88.0079,1.47493,2.08979,1.05608,1,0.1268,0.20618,0.10039,1.39043,3.13241,0.99888,0.000254838,0.000254838,0.000254838
11,96.9026,1.47974,1.94939,1.05261,0.9879,0.12939,0.23176,0.10993,1.45066,2.93651,1.01026,0.000268,0.000268,0.000268
12,111.468,1.37642,1.79846,1.075,0.96562,0.16507,0.23691,0.11121,1.46489,2.76701,1.02124,0.000278688,0.000278688,0.000278688
13,122.304,1.44617,1.76641,1.05263,0.96104,0.17105,0.2413,0.11248,1.46265,2.60485,1.03628,0.0002869,0.0002869,0.0002869
14,132.707,1.35262,1.75538,1.12736,0.96849,0.18249,0.2943,0.14066,1.45448,2.48886,1.04508,0.000292638,0.000292638,0.000292638
15,142.889,1.33633,1.71355,1.0971,0.96849,0.18249,0.2943,0.14066,1.45448,2.48886,1.04508,0.0002959,0.0002959,0.0002959
16,153.038,1.27052,1.52783,1.05811,0.99133,0.18316,0.38628,0.19979,1.42676,2.37837,1.05172,0.000296688,0.000296688,0.000296688
17,163.155,1.31942,1.5181,1.06066,0.9894,0.16447,0.42251,0.22251,1.45478,2.30592,1.06403,0.000295,0.000295,0.000295
18,173.297,1.27381,1.45232,1.05322,0.9894,0.16447,0.42251,0.22251,1.45478,2.30592,1.06403,0.000290837,0.000290837,0.000290837
19,183.49,1.25714,1.35191,1.03106,0.98359,0.15789,0.42464,0.22056,1.47709,2.25303,1.0703,0.0002842,0.0002842,0.0002842
20,193.646,1.34561,1.46234,1.02657,0.96604,0.15789,0.44008,0.23351,1.45095,2.23093,1.06677,0.000275088,0.000275088,0.000275088
21,204.015,1.23681,1.42573,1.05376,0.96604,0.15789,0.44008,0.23351,1.45095,2.23093,1.06677,0.0002635,0.0002635,0.0002635
22,214.186,1.26292,1.58563,1.05334,0.96466,0.15991,0.52219,0.30495,1.38953,2.19769,1.05325,0.000249438,0.000249438,0.000249438
23,224.435,1.17369,1.37176,1.01555,0.96466,0.15991,0.52219,0.30495,1.38953,2.19769,1.05325,0.0002329,0.0002329,0.0002329
24,234.515,1.14876,1.33786,1.0425,0.95791,0.22812,0.59739,0.37753,1.35751,2.11963,1.04551,0.000213887,0.000213887,0.000213887
25,244.347,1.14511,1.35678,1.01603,0.95791,0.22812,0.59739,0.37753,1.35751,2.11963,1.04551,0.0001924,0.0001924,0.0001924
26,254.596,1.1213,1.37216,1.00889,0.94884,0.30642,0.64635,0.42065,1.34759,2.03261,1.04503,0.000168437,0.000168437,0.000168437
27,264.556,1.12159,1.41312,1.03366,0.94884,0.30642,0.64635,0.42065,1.34759,2.03261,1.04503,0.000142,0.000142,0.000142
28,274.421,1.15205,1.39619,1.00927,0.83557,0.49075,0.67747,0.44872,1.36367,1.91822,1.05557,0.000113087,0.000113087,0.000113087
29,284.369,1.15745,1.30493,0.98049,0.83557,0.49075,0.67747,0.44872,1.36367,1.91822,1.05557,8.17e-05,8.17e-05,8.17e-05
30,294.626,1.23137,1.41114,1.02834,0.83557,0.49075,0.67747,0.44872,1.36367,1.91822,1.05557,4.78375e-05,4.78375e-05,4.78375e-05
